2026-05-31 19:16:14.814 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-05-31 19:16:14.818 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-05-31 19:16:22.438 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-05-31 19:16:22.492 INFO  [main] c.v.e.EcommerceBackendApplication - Starting EcommerceBackendApplication using Java 21.0.7 with PID 6708 (C:\Users\mani manoj\Desktop\E-commerce\backend\target\classes started by mani manoj in C:\Users\mani manoj\Desktop\E-commerce)
2026-05-31 19:16:22.493 INFO  [main] c.v.e.EcommerceBackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-31 19:16:23.436 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-31 19:16:23.598 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 152 ms. Found 22 JPA repository interfaces.
2026-05-31 19:16:24.248 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-05-31 19:16:24.257 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-31 19:16:24.260 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-31 19:16:24.261 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-05-31 19:16:24.340 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-31 19:16:24.348 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1799 ms
2026-05-31 19:16:24.515 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
